sha256,gt_family,gt_confidence,gt_reason,prediction,confidence,method,correct,category,evidence,classes,strings,crypter_stub,extraction_status,c2_count,c2_values,obf_score,perms,candidates,needs_manual_review
5af77b5f5d014162cd3bf43314ebb91f39658c5be335c1efff7c9564e298e719,AdLibrary,medium,vt_detected_6,unknown,0.3,llm,no,abstention_despite_signal,predicted unknown @ 0.3; cls=1224 str=1325 c2=0,1224,1325,,,0,,32.0,,unknown@0.3,False
de1d599dce6596fb6b5ed9aea4654e98e477877d6029e173a39a0dbd9db86f5c,Android/Agent,high,vt_consensus_20,unknown,0.3,llm,no,abstention_despite_signal,predicted unknown @ 0.3; cls=5204 str=6285 c2=10,5204,6285,,,10,,100,,unknown@0.3,False
d7ddce85033dd6a5bb68d2751d903fe7cbda741c64351b9d5632ad4661add63a,AppRisk,medium,vt_detected_6,unknown,0.3,llm,no,abstention_despite_signal,predicted unknown @ 0.3; cls=7127 str=13574 c2=0,7127,13574,,,0,,32.0,,unknown@0.3,False
9f2d916b1e0ee486f5a49e3e9887eae59dbdca0a554139ae9a4dc8edc2f12de0,BankBot,high,vt_consensus_34,unknown,0.3,llm,no,abstention_despite_signal,predicted unknown @ 0.3; cls=3461 str=7685 c2=37,3461,7685,,,37,,80.0,,unknown@0.3,False
fb61404d33ac0737ff718c80082abdbf5bd9883ac5683c9f50dd71728d1805e3,Bian,high,vt_consensus_26,unknown,0.35,llm,no,abstention_despite_signal,predicted unknown @ 0.35; cls=5305 str=7783 c2=134,5305,7783,,,134,,71.0,,unknown@0.35,False
563bc028fac5f38f3849a3808bcba9cc41beeaf4b9ff771d383954beb1267e0b,Boogr,high,vt_consensus_23,unknown,0.3,llm,no,abstention_despite_signal,predicted unknown @ 0.3; cls=1579 str=1828 c2=1,1579,1828,,,1,,17.0,,unknown@0.3,False
345bbac79d218919228838242d35fc475a7aab28d303d1d51ac6078cd59197d6,SpyMax,low,vt_detected_2,unknown,0.25,llm,no,abstention_despite_signal,predicted unknown @ 0.25; cls=7437 str=13247 c2=0,7437,13247,,,0,,29.5,android.permission.REQUEST_INSTALL_PACKAGES; android.permission.INTERNET; android.permission.ACCESS_NETWORK_STATE; android.permission.ACCESS_WIFI_STATE; android.permission.CHANGE_NETWORK_STATE; android.permission.READ_PHONE_STATE; android.permission.CAMERA; android.permission.RECEIVE_BOOT_COMPLETED;,unknown@0.25,False
44b5086d35b879afb9278392c230cdd0d16ac9b830cd44e75ece6ccf0fd4952c,Andr/Banker-HDY,high,vt_consensus_17,unknown,0.3,llm,no,abstention_no_signal,predicted unknown @ 0.3; cls=9 str=9,9,9,,,0,,57.0,,unknown@0.3,False
95236ef71738807ce60ef7d042699decb7156931931682cf46e6adc991dc9ecb,Andr/Banker-HDY,high,vt_consensus_10,unknown,0.3,llm,no,abstention_no_signal,predicted unknown @ 0.3; cls=9 str=3,9,3,,,0,,57.0,,unknown@0.3,False
e0f530acc605475dc38c1bae9ecf9f7c94c80b8f24b695e3f8025dba1e8d5c22,Andr/Banker-HDY,high,vt_consensus_16,unknown,0.3,llm,no,abstention_no_signal,predicted unknown @ 0.3; cls=9 str=3,9,3,,,0,,57.0,,unknown@0.3,False
